iter	Logloss
118	0.6593525007
119	0.6592467725
120	0.6591457926
121	0.65904095
122	0.6589296359
123	0.6588130807
124	0.6587017799
125	0.6585871095
126	0.6584994506
127	0.6584081629
128	0.6582989303
129	0.6582124626
130	0.6581152919
131	0.6580048314
132	0.6579048822
133	0.6577973731
134	0.6577101215
135	0.6576293227
136	0.6575323546
137	0.6574303946
138	0.657347804
139	0.6572597559
140	0.6571708626
141	0.6570863649
142	0.6570006991
143	0.6569067136
144	0.6568345327
145	0.6567505577
146	0.6566770712
147	0.6566031595
148	0.6565167982
149	0.6564417793
150	0.6563584378
151	0.6562744348
152	0.6561808344
153	0.6561064068
154	0.656032419
155	0.6559605673
156	0.6558914465
157	0.6558277542
158	0.6557572252
159	0.6556854984
160	0.6556250355
161	0.6555494291
162	0.6554807862
163	0.6553996785
164	0.6553402856
165	0.6552725305
166	0.6552110676
167	0.6551404667
168	0.6550852983
169	0.6550121426
170	0.6549417766
171	0.6548741277
172	0.6548020207
173	0.6547386406
174	0.654684377
175	0.6546095342
176	0.6545435653
177	0.6544826472
178	0.6544302009
179	0.6543741537
180	0.654315739
181	0.6542669879
182	0.6542200952
183	0.6541675073
184	0.6541064501
185	0.6540495962
186	0.6539899667
187	0.6539323397
188	0.6538755737
189	0.6538211636
190	0.6537697275
191	0.6537203752
192	0.6536668784
193	0.6536213502
194	0.6535710312
195	0.653527564
196	0.6534861353
197	0.6534392747
198	0.6533967227
199	0.6533521701
200	0.6533126007
201	0.6532661511
202	0.6532210836
203	0.6531720595
204	0.6531183034
205	0.6530716496
206	0.6530310255
207	0.6529751645
208	0.6529299872
209	0.6528769536
210	0.652820372
211	0.6527805638
212	0.6527292092
213	0.6526826687
214	0.6526373443
215	0.6525864617
216	0.6525410445
217	0.6524934688
218	0.6524529851
219	0.6524074272
220	0.6523595099
221	0.6523239233
222	0.6522845744
223	0.6522515572
224	0.6522078887
225	0.6521727137
226	0.6521304488
227	0.6520867467
228	0.652039171
229	0.651990872
230	0.6519539112
231	0.6519146258
232	0.6518786645
233	0.6518476291
234	0.6518061694
235	0.6517734015
236	0.6517354013
237	0.6516950297
238	0.6516552941
239	0.6516221512
240	0.6515847357
241	0.6515393333
242	0.6514994972
243	0.6514630397
244	0.651429275
245	0.6513955263
246	0.6513505872
247	0.6513117416
248	0.6512701361
249	0.6512440245
250	0.6512057999
251	0.6511671242
252	0.651127633
253	0.6510957345
254	0.6510599425
255	0.6510260043
256	0.6509915386
257	0.6509451369
258	0.6509072112
259	0.650873634
260	0.6508432281
261	0.6508028482
262	0.6507749772
263	0.6507419036
264	0.6507085126
265	0.6506723939
266	0.6506386956
267	0.6505998523
268	0.6505660789
269	0.6505305841
270	0.6504974515
271	0.6504630311
272	0.6504321364
273	0.6503979989
274	0.6503663419
275	0.6503355234
276	0.6502980313
277	0.6502725818
278	0.650242671
279	0.650215072
280	0.6501915755
281	0.6501633612
282	0.6501364006
283	0.6501054334
284	0.6500744401
285	0.650041334
286	0.6500154763
287	0.6499878067
288	0.6499622592
289	0.6499421372
290	0.6499125867
291	0.649890937
292	0.6498678575
293	0.6498412368
294	0.6498155463
295	0.6497896895
296	0.6497573691
297	0.6497328437
298	0.6497026431
299	0.6496743062
300	0.6496448651
301	0.6496198134
302	0.6495929599
303	0.6495658586
304	0.6495354351
305	0.6495066935
306	0.6494844304
307	0.6494596533
308	0.649433989
309	0.6494087488
310	0.6493775921
311	0.6493495356
312	0.649328347
313	0.64929928
314	0.6492682588
315	0.6492428293
316	0.6492163727
317	0.6491901647
318	0.6491646047
319	0.6491442425
320	0.6491129033
321	0.6490904499
322	0.6490606792
323	0.6490414964
324	0.6490238246
325	0.648999623
326	0.6489714829
327	0.6489484194
328	0.6489295167
329	0.6489114201
330	0.648890841
331	0.6488668036
332	0.6488481358
333	0.6488164679
334	0.6487899152
335	0.6487677264
336	0.6487422206
337	0.6487206128
338	0.6487025005
339	0.6486858002
340	0.6486657664
341	0.6486435238
342	0.6486170925
343	0.6485943049
344	0.6485703932
345	0.6485438618
346	0.6485164512
347	0.648494289
348	0.6484644771
349	0.6484388783
350	0.6484164296
351	0.6483894797
352	0.6483701084
353	0.6483388027
354	0.6483239516
355	0.6483111812
356	0.6482888181
357	0.6482666462
358	0.6482443505
359	0.6482228064
360	0.6482027077
361	0.6481771713
362	0.6481588357
363	0.6481434859
364	0.6481186847
365	0.6480992419
366	0.6480789258
367	0.6480646089
368	0.6480394598
369	0.6480217434
370	0.6479967487
371	0.6479713352
372	0.647955002
373	0.6479331402
374	0.6479102249
375	0.6478845256
376	0.6478678574
377	0.647846431
378	0.6478245802
379	0.6478036783
380	0.6477844536
381	0.647764054
382	0.647735861
383	0.6477092445
384	0.647691093
385	0.6476612151
386	0.6476409595
387	0.6476180764
388	0.6475972569
389	0.6475758289
390	0.6475578014
391	0.6475401386
392	0.6475217502
393	0.6475024566
394	0.6474832007
395	0.6474617209
396	0.6474428222
397	0.6474287971
398	0.6474103146
399	0.6473901476
400	0.6473693544
401	0.6473501122
402	0.6473360022
403	0.6473179529
404	0.647300391
405	0.647272117
406	0.647252332
407	0.6472305122
408	0.6472147079
409	0.6471953714
410	0.6471742669
411	0.6471555509
412	0.6471341282
413	0.6471125465
414	0.6470936082
415	0.6470684168
416	0.6470496197
417	0.6470313626
418	0.6470154683
419	0.646991298
420	0.6469654121
421	0.6469421049
422	0.6469176853
423	0.6469032885
424	0.646884789
425	0.646861895
426	0.6468406706
427	0.6468196611
428	0.6467978551
429	0.6467790064
430	0.646760183
431	0.6467429127
432	0.6467256476
433	0.6467074609
434	0.6466923833
435	0.6466754979
436	0.6466613246
437	0.6466452029
438	0.6466230825
439	0.6466040946
440	0.6465846853
441	0.6465676852
442	0.6465505358
443	0.6465368384
444	0.6465233193
445	0.6465108446
446	0.6464897834
447	0.6464731734
448	0.6464579348
449	0.6464393819
450	0.6464213201
451	0.6464049127
452	0.6463907808
453	0.6463767093
454	0.6463633666
455	0.6463415679
456	0.6463247628
457	0.6463106915
458	0.6462983601
459	0.6462805174
460	0.6462631568
461	0.6462456955
462	0.6462307651
463	0.6462147642
464	0.646195159
465	0.6461810067
466	0.6461616993
467	0.6461474772
468	0.6461351352
469	0.646121471
470	0.6460975498
471	0.6460769635
472	0.646060805
473	0.6460456467
474	0.6460216085
475	0.6460049621
476	0.6459895432
477	0.6459733418
478	0.6459562621
479	0.6459394818
480	0.6459245778
481	0.6459065443
482	0.6458939072
483	0.6458703841
484	0.6458502712
485	0.6458376227
486	0.6458162896
487	0.6458031056
488	0.6457888069
489	0.6457731192
490	0.6457485626
491	0.6457283261
492	0.6457067972
493	0.6456833637
494	0.6456706355
495	0.6456506958
496	0.6456358492
497	0.645621069
498	0.6456050468
499	0.6455871412
