symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_rupees,reason
IDEA.NS,2025-12-02,2025-12-15,10.130000114440918,12.018868788951979,18.6,371.93,Take Profit
BLKASHYAP,2025-12-05,2025-12-16,47.459999084472656,56.6634253300197,19.34,386.84,Take Profit
BHARATGEAR,2025-12-05,2025-12-22,105.25,104.0,-1.24,-24.75,Time Stop
BCONCEPTS,2025-12-05,2025-12-22,299.8999938964844,319.95001220703125,6.64,132.71,Time Stop
BCLIND,2025-12-05,2025-12-22,32.11000061035156,32.310001373291016,0.57,11.46,Time Stop
BBTCL,2025-12-05,2025-12-22,199.92999267578125,193.69000244140625,-3.17,-63.42,Time Stop
BALKRISHNA,2025-12-05,2025-12-22,20.6299991607666,18.479999542236328,-10.47,-209.43,Time Stop
BALAXI,2025-12-05,2025-12-16,34.099998474121094,28.78230540414243,-15.64,-312.89,Stop Loss
BALAJITELE,2025-12-05,2025-12-22,113.08000183105469,108.5999984741211,-4.01,-80.24,Time Stop
AXISCADES,2025-12-05,2025-12-18,1352.800048828125,1168.913470120153,-13.64,-272.86,Stop Loss
AVALON,2025-12-05,2025-12-22,862.4500122070312,889.5,3.09,61.73,Time Stop
BLSE,2025-12-05,2025-12-22,208.33212280273438,205.60035705566406,-1.36,-27.23,Time Stop
21STCENMGM,2025-12-05,2025-12-17,42.209999084472656,46.99422498677191,11.28,225.69,Take Profit
ATLANTAA,2025-12-05,2025-12-22,40.58000183105469,42.63999938964844,5.03,100.53,Time Stop
ASTRAMICRO,2025-12-05,2025-12-22,908.3499755859375,935.2999877929688,2.92,58.34,Time Stop
ARIES,2025-12-05,2025-12-22,325.75,322.29998779296875,-1.11,-22.18,Time Stop
ARENTERP,2025-12-05,2025-12-09,57.5,47.530156471182096,-17.39,-347.78,Stop Loss
APCL,2025-12-05,2025-12-22,120.12000274658203,120.2300033569336,0.04,0.83,Time Stop
ALPA,2025-12-05,2025-12-22,81.30999755859375,77.48999786376953,-4.75,-94.96,Time Stop
ALMONDZ,2025-12-05,2025-12-22,16.8700008392334,16.549999237060547,-1.95,-38.94,Time Stop
AIROLAM,2025-12-05,2025-12-22,106.5,102.2300033569336,-4.06,-81.19,Time Stop
AIRAN,2025-12-05,2025-12-22,18.219999313354492,18.389999389648438,0.88,17.66,Time Stop
AHLADA,2025-12-05,2025-12-22,50.36000061035156,49.86000061035156,-1.04,-20.86,Time Stop
ATL,2025-12-05,2025-12-22,25.959999084472656,27.360000610351562,5.34,106.86,Time Stop
BROOKS,2025-12-05,2025-12-22,97.81999969482422,93.83000183105469,-4.13,-82.58,Time Stop
BANG,2025-12-09,2025-12-24,50.85,49.33,-3.04,-60.78,Time Stop
BIGBLOC,2025-12-15,2025-12-30,70.66,72.38,2.38,47.68,Time Stop
DEVYANI,2025-12-16,2025-12-31,128.02,147.27763259889267,14.99,299.85,Take Profit
ASAHISONG,2025-12-16,2025-12-22,311.75,274.1159518796578,-12.12,-242.44,Stop Loss
LUMAXTECH,2025-12-17,2026-01-01,1445.5,1616.6,11.79,235.73,Time Stop
RKFORGE,2025-12-18,2026-01-02,478.35,531.4,11.04,220.8,Time Stop
A2ZINFRA,2025-12-22,2026-01-06,15.0,14.970000267028809,-0.25,-5.0,Time Stop
CELEBRITY,2025-12-22,2026-01-06,8.770000457763672,8.739999771118164,-0.39,-7.84,Time Stop
HCC,2025-12-22,2026-01-06,19.8799991607666,19.18000030517578,-3.57,-71.42,Time Stop
ASAHISONG,2025-12-22,2026-01-06,271.35,260.0,-4.23,-84.66,Time Stop
ALMONDZ,2025-12-22,2026-01-06,16.549999237060547,18.770000457763672,13.36,267.28,Time Stop
ADROITINFO,2025-12-22,2026-01-06,10.369999885559082,9.970000267028809,-3.91,-78.15,Time Stop
BALAJITELE,2025-12-22,2026-01-06,108.5999984741211,103.0999984741211,-5.11,-102.29,Time Stop
ALPA,2025-12-22,2026-01-06,77.48999786376953,75.88999938964844,-2.11,-42.3,Time Stop
